six_lett_spec_abbrv,AssayIDcode,Genus,species,gen_specnm,dk_comnm,AssayIDNo
Bombom,BombomCB_25,Bombina,bombina,Bombina_bombina,Klokkefroe,1
Bufbuf,Bufbuf_cytb_F03_R03_P03,Bufo,bufo,Bufo_bufo,skrubtudse,2
Bufcal,BufcalCB,Bufo,calamita,Bufo_calamita,Strandtudse,3
Bufvir,BufvirCB,Bufo,viridis,Bufo_viridis,Groenbrogettudse,4
Emyorb,EmyorbCB,Emys,orbicularis,Emys_orbicularis,Europaeisksumpskildpadde,5
Hylarb,HylarbCB,Hyla,arborea,Hyla_arborea,Loevfroe,6
Ichalp,Ichalp_cytb_F04R04P04,Ichthyosaurus,alpestris,Ichthyosaurus_alpestris,bjergsalamander,7
Lisvul,Lisvul_cytb_F01R01P01,Lissotriton,vulgaris,Lissotriton_vulgaris,lillevandsalamander,8
Pelfus,PelfusCB,Pelobates,fuscus,Pelobates_fuscus,loegfroe,9
Pelrid,Pelrid_cytb_F01R01P01,Pelophylax,ridibundus,Pelophylax_ridibundus,latterfroe,10
Ranarv,Ranarv_cytb_F04R05P04,Rana,arvalis,Rana_arvalis,spidssnudetfroe,11
Randal,RandalCB,Rana,dalmatina,Rana_dalmatina,Springfroe,12
Ranles,Ranles_cytb_F01R01P01,Rana,lessonae,Rana_lessonae,kortbenetgroenfroe,13
Rantem,Rantem_cytb_F01R03P02,Rana,temporaria,Rana_temporaria,butsnudetfroe,14
Tricri,TricriCB,Triturus,cristatus,Triturus_cristatus,storvandsalamander,15
Abrbra,Abrbra_F14531_R14610_P14553,Abramis,brama,Abramis_brama,brasen,16
Carcar,CCCBb,Carassius,carassius,Carassius_carassius,karusse,17
Rutrut,Rutrut_F15429_R15508_P15451,Rutilus,rutilus,Rutilus_rutilus,skalle,18
