Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A7	17_Emyorb_067_01_1E05_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	17	1.7567	31.93	3.00e+005	0.963	-3.265	
A8	17_Emyorb_067_01_1E05_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	17	1.7567	34.36	3.00e+005	0.963	-3.265	
A9	17_Emyorb_067_01_1E05_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	17	1.7567	32.36	3.00e+005	0.963	-3.265	
B7	18_Emyorb_067_01_1E04_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	18	1.7567	37.64	3.00e+004	0.963	-3.265	
B8	18_Emyorb_067_01_1E04_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	18	1.7567	37.53	3.00e+004	0.963	-3.265	
B9	18_Emyorb_067_01_1E04_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	18	1.7567	38.45	3.00e+004	0.963	-3.265	
C7	19_Emyorb_067_01_1E03_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	19	1.7567	41.91	3.00e+003	0.963	-3.265	
C8	19_Emyorb_067_01_1E03_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	19	1.7567	42.39	3.00e+003	0.963	-3.265	
C9	19_Emyorb_067_01_1E03_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	19	1.7567	39.94	3.00e+003	0.963	-3.265	
D7	20_Emyorb_067_01_1E02_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	20	1.7567	43.97	3.00e+002	0.963	-3.265	
D8	20_Emyorb_067_01_1E02_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	20	1.7567	43.66	3.00e+002	0.963	-3.265	
D9	20_Emyorb_067_01_1E02_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	20	1.7567	43.25	3.00e+002	0.963	-3.265	
E7	21_Emyorb_067_01_1E01_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	21	1.7567	47.63	3.00e+001	0.963	-3.265	
E8	21_Emyorb_067_01_1E01_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	21	1.7567	47.76	3.00e+001	0.963	-3.265	
E9	21_Emyorb_067_01_1E01_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	21	1.7567	45.57	3.00e+001	0.963	-3.265	
F7	22_Emyorb_067_01_1E00_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	22	1.7567	49.81	3.00e+000	0.963	-3.265	
F8	22_Emyorb_067_01_1E00_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	22	1.7567	No Ct	No Ct	0.963	-3.265	
F9	22_Emyorb_067_01_1E00_3uL_PFT-EmyorbCBL,PFT-Emyo	Standard	22	1.7567	49.41	3.00e+000	0.963	-3.265	
G7	23_Emyorb_067_01_1E0NTC_3uL_PFT-EmyorbCBL,PFT-Em	NTC	23	1.7567	No Ct	No Ct	0.963	-3.265	
G8	23_Emyorb_067_01_1E0NTC_3uL_PFT-EmyorbCBL,PFT-Em	NTC	23	1.7567	No Ct	No Ct	0.963	-3.265	
G9	23_Emyorb_067_01_1E0NTC_3uL_PFT-EmyorbCBL,PFT-Em	NTC	23	1.7567	No Ct	No Ct	0.963	-3.265	
H7	24_Emyorb_1E0tiss_3uL_PFT-EmyorbCBL,PFT-EmyorbCB	Unknown	24	1.7567	39.95	4.339e+003	0.963	-3.265	
H8	24_Emyorb_1E0tiss_3uL_PFT-EmyorbCBL,PFT-EmyorbCB	Unknown	24	1.7567	41.99	1.025e+003	0.963	-3.265	
H9	24_Emyorb_1E0tiss_3uL_PFT-EmyorbCBL,PFT-EmyorbCB	Unknown	24	1.7567	40.73	2.489e+003	0.963	-3.265	
