Bombina_bombina	(CE) central Europe, (EE) eastern Europe, (De) Denmark, (sSw) southern Sweden, (NGe) northern Germany, (UM) Ural Mountains, (Tu) Turkey, (nCM) northern slopes of the Caucasus Mountains, (UK) United Kingdom
Bufo_bufo	(CE) central Europe, (EE) eastern Europe, (WE) Western Europe, (nEA) northern Eurasia, (WA) West Asia, (Tu) Turkey, (Sy) Syria, (Le) Lebanon, (NA) north Africa, (Mo) Morocco, (Al) Algeria, (T) Tunisia, (UK) United Kingdom, (No) Norway, (Sw) Sweden, (Fi) Finland, (nK) northern Kazakhstan, (eSi) eastern Siberia
Bufo_calamita	(SE) southern Europe, (WE) western Europe, (NE) northern Europe, (Por) Portugal, (Sp) Spain, (De) Denmark, (sSw) southern Sweden, (Ukr) Ukraine, (Bel) Belarus, (Lat) Latvia, (Est) Estonia, (Ir) Ireland, (UK) United Kingdom
Bufo_viridis	(CE) Central Europe, (Sca) Scandinavia, (Fi) Finland, (UK) United Kingdom, (It) Italy, (IbP) Iberian Peninsula, (WE) Western Europe, (sSw) Southern Sweden, (De) Denmark, (Ge) Germany, (Kaz) Kazakhstan, (Sp) Spain, (Cor) Corsica, (Sar) Sardinia, (Isr) Israel, (Eg) Egypt, (Jor) Jordan
Hyla_arborea	(PA) Palearctic, (Ib) Iberia, (Fr) France, (CE) central Europe, (WE) western Europe, (Ru) Russia, (Cau) Caucasus, (Bal) Balkans, (Tu) Turkey, (sDe) southern Denmark, (sSw) southern Sweden), (UK) United Kingdom
Rana_dalmatina	(WE) western Europe, (CE) central Europe, (Sp) Spain, (Tu) Turkey, (sSw) Sweden, (De) Denmark, (Jer) Jersey, (Ukr) Ukraine
Pelobates_fuscus	(CE) central Europe, (Ne) Netherlands, (ebE) eastern Belgium, (eFr) eastern France, (Ge) Germany, (De) Denmark, (Sw) Sweden, (EE) Eastern Europe, (wSib) western Siberia, (Ru) Russia, (nwKaz) northwestern Kazakhstan, (nIt) northern Italy
Rana_arvalis	(NE) northern Europe, (CE) central Europe, (EE) eastern Europe, (Si) Siberia, (Ru) Russia, (Chi) China
Pelophylax_ridibundus	(WE) western Europe, (CE) central Europe, (EE) eastern Europe, (eKaz) eastern Kazakhstan, (seUK) southeast United Kingdom, (Swi) Switzerland, (Be) Belgium, (Sp) Spain, (Si) Siberia, (Kam) Kamchatka, (Ru) Russia, (Chi) China, (Tu) Turkey, (Sy) Syria, (Ir) Iran, (nAfg) northern Afghanistan.
Ichthyosaura_alpestris	(CE) central Europe, (WE) western Europe, (Fr) France, (De) Denmark, (Ukr) Ukraine, (Ro) Romania, (Bu) Bulgaria, (Sp) Spain, (It) Italy, (UK) United Kingdom, (Swi) Switzerland
Triturus_cristatus	(UK) United Kingdom, (nFr) northern France, (sSca) southern Scandinavia, (CE) central Europe, (Bal) Balkans, (wSib) West Siberia
Lissotriton_vulgaris	(CE) central Europe, (EE) eastern Europe, (WE) Western Europe, (Ir) Ireland, (UK) Great Britain, (Sca) Scandinavia, (It) Italy, (Bal) Balkans, (Tu) Turkey, (Ukr) Ukraine, (Ru) Russia, (Cau) Caucasus, (Aus) Austria
Pelophylax_kl. Esculentus	(WE) western Europe, (CE) central Europe, (EE) eastern Europe, (De) Denmark, (sSw) southern Sweden, (It) Italy, (UK) United Kingdom, (Sp) Spain
Pelophylax lessonae	(CE) central Europe, (EE) eastern Europe, (sUra) southern Ural Mountains, (Sp) Spain, (Sca) Scandinavia, (It) Italy, (UK) United Kingdom
Rana_temporaria	(CE) central Europe, (nSp) northern Spain, (Ura) Urals, (WE) western Europe, (EE) eastern Europe, (wSib) West Siberia, (nKaz) northern Kazakhstan, (nGre) northern Greece, (Bu) Bulgaria, (Bal) Balkans
