DL_No;LatGr;LatMin;Latsek;LatHemisph;LonGr;LonMin;Lonsek;LonHemisph;dec_lat;dec_lon;DNAconcinwtsmpl_ng_uL;elute_vol_uL;ddH2O_add_per_elute;tot_vol_elute;dec_lat_region;dec_lon_region;rg.wtsmplloc;sampling_date;Filt.vol;Area_wt_coll_loc;wtsmplloc2
DL2018118;55;0;35.604;N;11;57;58.788;E;55.00989;11.96633;0;0;0;0;55.628791;12.0516207;Sjaelland;25/06/2018;250;Vordingborg;Vordingborg
DL2018119;55;0;35.604;N;11;57;58.788;E;55.00989;11.96633;0;0;0;0;55.628791;12.0516207;Sjaelland;25/06/2018;250;Vordingborg;Vordingborg
DL2018120;55;24;23.57856;N;11;40;24.34656;E;55.4065496;11.6734296;0;0;0;0;55.628791;12.0516207;Sjaelland;26/06/2018;50;Ringsted;Alsted
DL2018121;55;24;23.57856;N;11;40;24.34656;E;55.4065496;11.6734296;0;0;0;0;55.628791;12.0516207;Sjaelland;26/06/2018;50;Ringsted;Alsted
DL2018122;55;33;15.00732;N;11;32;18.13092;E;55.5541687;11.5383697;0;0;0;0;55.628791;12.0516207;Sjaelland;26/06/2018;250;NV_Sjaelland;Quellinghoej_4245_Stenlille
DL2018123;55;33;15.00732;N;11;32;18.13092;E;55.5541687;11.5383697;0;0;0;0;55.628791;12.0516207;Sjaelland;26/06/2018;250;NV_Sjaelland;Quellinghoej_4245_Stenlille
DL2018124;55;4;7.9536;N;10;38;52.1376;E;55.068876;10.647816;0;0;0;0;55.25778245;10.05453676;Fyn;27/06/2018;200;Svendborg;Svendborg
DL2018125;55;4;7.9536;N;10;38;52.1376;E;55.068876;10.647816;0;0;0;0;55.25778245;10.05453676;Fyn;27/06/2018;200;Svendborg;Svendborg
DL2018126;55;15;28.01681165;N;10;3;16.33233547;E;55.25778245;10.05453676;0;0;0;0;55.25778245;10.05453676;Fyn;27/06/2018;150;Assens;Glamsbjerg
DL2018127;55;16;12.72;N;10;7;5.646;E;55.2702;10.118235;0;0;0;0;55.25778245;10.05453676;Fyn;27/06/2018;150;Assens;Glamsbjerg
DL2018128;55;22;49.40904;N;11;34;5.16576;E;55.3803914;11.5681016;0;0;0;0;55.628791;12.0516207;Sjaelland;26/06/2018;30;Slagelse;Suserup_Overdrev
DL2018129;55;22;49.40904;N;11;34;5.16576;E;55.3803914;11.5681016;0;0;0;0;55.628791;12.0516207;Sjaelland;26/06/2018;30;Slagelse;Suserup_Overdrev
DL2018130;55;39;2.52;N;12;35;6;E;55.6507;12.585;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;115;Koebenhavn;Groenjordssoeen
DL2018131;55;39;2.52;N;12;35;6;E;55.6507;12.585;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;230;Koebenhavn;Groenjordssoeen
DL2018132;55;40;37.272;N;12;28;34.0788;E;55.67702;12.476133;0;0;0;0;55.628791;12.0516207;Sjaelland;07/06/2018;1350;Koebenhavn;Damhussoeen
DL2018133;55;40;37.272;N;12;28;34.0788;E;55.67702;12.476133;0;0;0;0;55.628791;12.0516207;Sjaelland;07/06/2018;2300;Koebenhavn;Damhussoeen
DL2018134;55;58;43.446;N;12;1;47.9568;E;55.978735;12.029988;0;0;0;0;55.628791;12.0516207;Sjaelland;28/06/2018;300;Hilleroed;Lille_Tranemose
DL2018135;0;0;0;N;0;0;0;E;0;0;0;0;0;0;55.628791;12.0516207;Sjaelland;10/07/2018;180;Birkeroed;Birkeroed_soe
DL2018136;0;0;0;N;0;0;0;E;0;0;0;0;0;0;55.628791;12.0516207;Sjaelland;01/01/1970;0;Hilleroed;Teglgaardssoeen
DL2018137;0;0;0;N;0;0;0;E;0;0;0;0;0;0;55.628791;12.0516207;Sjaelland;01/01/1970;0;Hilleroed;Teglgaardssoeen
DL2018174;0;0;0;N;0;0;0;E;0;0;0;0;0;0;57.597536;9.9772;N_Jylland;19/09/2018;500;Hirtshals;Soe_vTornby_Raevskaer_strand
DL2018175;0;0;0;N;0;0;0;E;0;0;0;0;0;0;57.597536;9.9772;N_Jylland;19/09/2018;500;Hirtshals;Soe_vTornby_Raevskaer_strand
