DL_No;LatGr;LatMin;Latsek;LatHemisph;LonGr;LonMin;Lonsek;LonHemisph;dec_lat;dec_lon;DNAconcinwtsmpl_ng_uL;elute_vol_uL;ddH2O_add_per_elute;tot_vol_elute;dec_lat_region;dec_lon_region;rg.wtsmplloc;sampling_date;Filt.vol;Area_wt_coll_loc;wtsmplloc2
DL2018071;56;17;28.8564;N;10;28;23.8728;E;56.291349;10.473298;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;500;Helsingoer;Soe_i_udkant_af_Hestehave_skov
DL2018072;56;17;28.8564;N;10;28;23.8728;E;56.291349;10.473298;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;250;Helsingoer;Soe_i_udkant_af_Hestehave_skov
DL2018073;55;12;39.2652;N;11;46;10.8804;E;55.210907;11.769689;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;50;Naestved;Vandhul_vTennisbaner
DL2018074;55;12;39.2652;N;11;46;10.8804;E;55.210907;11.769689;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;50;Naestved;Vandhul_v_Tennisbaner
DL2018075;55;12;39.2652;N;11;46;10.8804;E;55.210907;11.769689;0;0;0;0;55.628791;12.0516207;Sjaelland;28/05/2018;50;Naestved;Vandhul_vTennisbaner
DL2018076;56;23;47.2452;N;10;53;28.266;E;56.396457;10.891185;0;0;0;0;56.0233946;9.946757;Oe_Jylland;28/05/2018;80;Djursland;Skovsoeen
DL2018077;56;23;47.2452;N;10;53;28.266;E;56.396457;10.891185;0;0;0;0;56.0233946;9.946757;Oe_Jylland;28/05/2018;70;Djursland;Skovsoeen
DL2018078;55;59;55.89321371;N;12;33;53.45638505;E;55.99885923;12.564849;0;0;0;0;55.628791;12.0516207;Sjaelland;30/05/2018;350;Helsingoer;Salamanderdammen_Egebaekvang_skov
DL2018079;55;59;55.89321371;N;12;33;53.45638505;E;55.99885923;12.564849;0;0;0;0;55.628791;12.0516207;Sjaelland;30/05/2018;350;Helsingoer;Salamanderdammen_Egebaekvang_skov
DL2018080;56;8;60;N;8;58;12;E;56.15;8.97;109;0;0;0;55.758139;8.885876;Midt_Jylland;30/05/2018;150;Herning;Lillelund_engsoe
DL2018081;56;8;60;N;8;58;12;E;56.15;8.97;0;0;0;0;55.758139;8.885876;Midt_Jylland;30/05/2018;150;Herning;Lillelund_engsoe
DL2018082;55;44;12.2208;N;12;22;58.8828;E;55.736728;12.383023;29;0;0;0;55.628791;12.0516207;Sjaelland;31/05/2018;400;Ballerup;Gymnasiesoeen
DL2018083;55;44;12.2208;N;12;22;58.8828;E;55.736728;12.383023;0;0;0;0;55.628791;12.0516207;Sjaelland;31/05/2018;400;Ballerup;Gymnasiesoeen
DL2018084;55;44;17.1024;N;12;22;51.8232;E;55.738084;12.381062;426;0;0;0;55.628791;12.0516207;Sjaelland;31/05/2018;350;Ballerup;Soe_ved_Ring_4
