Species_DK,Species_Latin
Aborre,Perca_fluviatilis
AmerikanskHummer,Homarus_americanus
AmerikanskRibbegoble,Mnemiopsis_leidyi
Bjergsalamander,Ichthyosaurus_alpestris
ButsnudetFroe,Rana_temporaria
EuropaeiskAal,Anguilla_anguilla
GroenbrogetTudse,Bufo_viridis
Kamjatkakrabbe,Paralithodes_camtschaticus
Karusse,Carassius_carassius
KinesiskUldhaandskrabbe,Eriocheir_sinensis
Klokkefroe,Bombina_bombina
KortbenetGroenFroe,Rana_lessonae
Latterfroe,Pelophylax_ridibundus
LilleVandsalamander,Lissotriton_vulgaris
Loegfroe,Pelobates_fuscus
Loevfroe,Hyla_arborea
Makrel,Scomber_scombrus
NordamerikanskMudderkrabbe,Rhithropanopeus_harrisii
Pukkellaks,Oncorhynchus_gorbuscha
Roedspaette,Pleuronectes_platessa
Sandmusling,Mya_arenaria
SibiriskStoer,Acipenser_baerii
Sild,Clupea_harengus
Skalle,Rutilus_rutilus
Skrubbe,Platichthys_flesus
Skrubtudse,Bufo_bufo
Soelvkarusse,Carassius_auratus
SortmundetKutling,Neogobius_melanostomus
SpidssnudetFroe,Rana_arvalis
Springfroe,Rana_dalmatina
Stillehavsoesters,Crassostrea_gigas
StorVandsalamander,Triturus_cristatus
Strandtudse,Bufo_calamita
Torsk,Gadus_morhua
