"","specs","replno","qpcrrundate","DLsamplno","koerselno","spec.repl.rund.DLno.koerselno","NPC.CtdRn","NTC.CtdRn","unkn1.CtdRn","unkn2.CtdRn","unkn3.CtdRn","unkn4.CtdRn"
"1","Aborre",1,"20170510","DL2017006","koerselno1","Aborre.1.20170510.DL2017006.koerselno1","0","41.20","28.43","NoCt","0","0"
"2","Aborre",2,"20170510","DL2017006","koerselno1","Aborre.2.20170510.DL2017006.koerselno1","0","NoCt","NoCt","NoCt","0","0"
"85","Aborre",1,"20170511","DL2017003","koerselno1","Aborre.1.20170511.DL2017003.koerselno1","0","NoCt","29.05","33.93","0","0"
"86","Aborre",2,"20170511","DL2017003","koerselno1","Aborre.2.20170511.DL2017003.koerselno1","0","39.26","29.47","33.86","0","0"
"148","Aborre",1,"20170518","DL2017011","koerselno1","Aborre.1.20170518.DL2017011.koerselno1","0","NoCt","31.09","40.77","0","0"
"149","Aborre",2,"20170518","DL2017011","koerselno1","Aborre.2.20170518.DL2017011.koerselno1","0","NoCt","34.86","36.72","0","0"
"220","Aborre",1,"20170523","DL2017012","koerselno1","Aborre.1.20170523.DL2017012.koerselno1","0","NoCt","28.52","NoCt","0","0"
"221","Aborre",2,"20170523","DL2017012","koerselno1","Aborre.2.20170523.DL2017012.koerselno1","0","41.20","28.90","39.03","0","0"
"304","Aborre",1,"20170601","DL2017013","koerselno1","Aborre.1.20170601.DL2017013.koerselno1","28.77","NoCt","NoCt","0","0","0"
"305","Aborre",2,"20170601","DL2017013","koerselno1","Aborre.2.20170601.DL2017013.koerselno1","30.22","NoCt","40.95","0","0","0"
"385","Aborre",1,"20170608","DL2017015","koerselno1","Aborre.1.20170608.DL2017015.koerselno1","29.32","NoCt","34.25","0","0","0"
"457","Aborre",1,"20170608","DL2017016","koerselno1","Aborre.1.20170608.DL2017016.koerselno1","NoCt","NoCt","NoCt","0","0","0"
"386","Aborre",2,"20170608","DL2017015","koerselno1","Aborre.2.20170608.DL2017015.koerselno1","28.67","40.05","32.83","0","0","0"
"458","Aborre",2,"20170608","DL2017016","koerselno1","Aborre.2.20170608.DL2017016.koerselno1","28.94","NoCt","NoCt","0","0","0"
"529","Aborre",1,"20170615","DL2017007","koerselno1","Aborre.1.20170615.DL2017007.koerselno1","30.09","NoCt","NoCt","0","0","0"
"601","Aborre",1,"20170615","DL2017008","koerselno1","Aborre.1.20170615.DL2017008.koerselno1","29.39","NoCt","NoCt","0","0","0"
"530","Aborre",2,"20170615","DL2017007","koerselno1","Aborre.2.20170615.DL2017007.koerselno1","NoCt","NoCt","NoCt","0","0","0"
"602","Aborre",2,"20170615","DL2017008","koerselno1","Aborre.2.20170615.DL2017008.koerselno1","28.04","NoCt","40.22","0","0","0"
"673","Aborre",1,"20170829","DL2017048","koerselno1","Aborre.1.20170829.DL2017048.koerselno1","28.87","NoCt","34.30","0","0","0"
"674","Aborre",2,"20170829","DL2017048","koerselno1","Aborre.2.20170829.DL2017048.koerselno1","28.92","41.04","33.77","0","0","0"
"748","Aborre",1,"20170830","DL2017059","koerselno1","Aborre.1.20170830.DL2017059.koerselno1","28.30","NoCt","NoCt","0","0","0"
"824","Aborre",1,"20170831","DL2017032","koerselno1","Aborre.1.20170831.DL2017032.koerselno1","29.24","40.86","NoCt","0","0","0"
"825","Aborre",2,"20170831","DL2017032","koerselno1","Aborre.2.20170831.DL2017032.koerselno1","28.57","NoCt","40.15","0","0","0"
"896","Aborre",1,"20170901","DL2017029","koerselno1","Aborre.1.20170901.DL2017029.koerselno1","28.31","NoCt","34.23","0","0","0"
"897","Aborre",2,"20170901","DL2017029","koerselno1","Aborre.2.20170901.DL2017029.koerselno1","29.05","NoCt","33.24","0","0","0"
"962","Aborre",1,"20170907","DL2017046","koerselno1","Aborre.1.20170907.DL2017046.koerselno1","NoCt","NoCt","35.60","0","0","0"
"963","Aborre",2,"20170907","DL2017046","koerselno1","Aborre.2.20170907.DL2017046.koerselno1","29.32","41.45","34.65","0","0","0"
"1037","Aborre",1,"20170908","DL2017020","koerselno1","Aborre.1.20170908.DL2017020.koerselno1","40.70","NoCt","35.19","0","0","0"
"1038","Aborre",2,"20170908","DL2017020","koerselno1","Aborre.2.20170908.DL2017020.koerselno1","30.87","45.72","35.07","0","0","0"
"1121","Aborre",1,"20170912","DL2017027","koerselno1","Aborre.1.20170912.DL2017027.koerselno1","29.87","30.88","NoCt","0","0","0"
"1122","Aborre",2,"20170912","DL2017027","koerselno1","Aborre.2.20170912.DL2017027.koerselno1","28.64","NoCt","NoCt","0","0","0"
"1208","Aborre",1,"20170913","DL2017025","koersel1","Aborre.1.20170913.DL2017025.koersel1","28.65","NoCt","31.86","0","0","0"
"1209","Aborre",2,"20170913","DL2017025","koersel1","Aborre.2.20170913.DL2017025.koersel1","NoCt","NoCt","31.47","0","0","0"
"1292","Aborre",1,"20170914","DL2017027","koerselno1","Aborre.1.20170914.DL2017027.koerselno1","28.94","41.07","36.69","0","0","0"
"1293","Aborre",2,"20170914","DL2017027","koerselno1","Aborre.2.20170914.DL2017027.koerselno1","29.15","NoCt","37.00","0","0","0"
"1382","Aborre",1,"20170915","DL2017041","koerselno1","Aborre.1.20170915.DL2017041.koerselno1","29.49","NoCt","34.00","0","0","0"
"1383","Aborre",2,"20170915","DL2017041","koerselno1","Aborre.2.20170915.DL2017041.koerselno1","28.32","45.75","36.80","0","0","0"
"1466","Aborre",1,"20170920","DL2017037","koerselno1","Aborre.1.20170920.DL2017037.koerselno1","29.53","NoCt","37.83","0","0","0"
"1467","Aborre",2,"20170920","DL2017037","koerselno1","Aborre.2.20170920.DL2017037.koerselno1","29.48","NoCt","38.71","0","0","0"
"1556","Aborre",1,"20170926","DL2017014","koerselno1","Aborre.1.20170926.DL2017014.koerselno1","28.64","NoCt","NoCt","0","0","0"
"1557","Aborre",2,"20170926","DL2017014","koerselno1","Aborre.2.20170926.DL2017014.koerselno1","28.89","NoCt","NoCt","0","0","0"
"1640","Aborre",1,"20170927","DL2017053","koerselno1","Aborre.1.20170927.DL2017053.koerselno1","29.87","NoCt","NoCt","0","0","0"
"1641","Aborre",2,"20170927","DL2017053","koerselno1","Aborre.2.20170927.DL2017053.koerselno1","29.67","NoCt","NoCt","0","0","0"
"1712","Aborre",1,"20170928","DL2017018","koerselno1","Aborre.1.20170928.DL2017018.koerselno1","30.99","NoCt","38.39","0","0","0"
"1713","Aborre",2,"20170928","DL2017018","koerselno1","Aborre.2.20170928.DL2017018.koerselno1","NoCt","NoCt","38.03","0","0","0"
"1790","Aborre",1,"20170929","DL2017051","koerselno1","Aborre.1.20170929.DL2017051.koerselno1","28.84","NoCt","NoCt","0","0","0"
"1791","Aborre",2,"20170929","DL2017051","koerselno1","Aborre.2.20170929.DL2017051.koerselno1","28.10","NoCt","NoCt","0","0","0"
"1871","Aborre",1,"20171003","DL2017066","koerselno1","Aborre.1.20171003.DL2017066.koerselno1","28.90","NoCt","NoCt","0","0","0"
"1872","Aborre",2,"20171003","DL2017066","koerselno1","Aborre.2.20171003.DL2017066.koerselno1","NoCt","NoCt","NoCt","0","0","0"
"1952","Aborre",1,"20171004","DL2017026","koerselno1","Aborre.1.20171004.DL2017026.koerselno1","30.24","NoCt","35.83","0","0","0"
"1953","Aborre",2,"20171004","DL2017026","koerselno1","Aborre.2.20171004.DL2017026.koerselno1","28.78","NoCt","34.71","0","0","0"
"2021","Aborre",1,"20171005","DL201703","koerselno1","Aborre.1.20171005.DL201703.koerselno1","30.22","NoCt","NoCt","0","0","0"
"2022","Aborre",2,"20171005","DL201703","koerselno1","Aborre.2.20171005.DL201703.koerselno1","29.82","NoCt","NoCt","0","0","0"
"2105","Aborre",1,"20171006","DL2017019","koerselno1","Aborre.1.20171006.DL2017019.koerselno1","29.59","NoCt","NoCt","0","0","0"
"2106","Aborre",2,"20171006","DL2017019","koerselno1","Aborre.2.20171006.DL2017019.koerselno1","28.57","NoCt","40.64","0","0","0"
"2186","Aborre",1,"20171012","DL2017021","koerselno1","Aborre.1.20171012.DL2017021.koerselno1","30.40","NoCt","33.45","0","0","0"
"2187","Aborre",2,"20171012","DL2017021","koerselno1","Aborre.2.20171012.DL2017021.koerselno1","29.11","NoCt","32.92","0","0","0"
"2261","Aborre",1,"20171013","DL2017022","koersel1","Aborre.1.20171013.DL2017022.koersel1","28.99","41.77","39.09","0","0","0"
"2262","Aborre",2,"20171013","DL2017022","koersel1","Aborre.2.20171013.DL2017022.koersel1","29.11","NoCt","35.12","0","0","0"
"2339","Aborre",1,"20171016","DL2017010","koerselno1","Aborre.1.20171016.DL2017010.koerselno1","30.07","NoCt","40.49","0","0","0"
"2340","Aborre",2,"20171016","DL2017010","koerselno1","Aborre.2.20171016.DL2017010.koerselno1","29.43","NoCt","40.04","0","0","0"
"2420","Aborre",1,"20171110","DL2017035","koerselno1","Aborre.1.20171110.DL2017035.koerselno1","28.72","NoCt","35.67","0","0","0"
"2421","Aborre",2,"20171110","DL2017035","koerselno1","Aborre.2.20171110.DL2017035.koerselno1","28.95","NoCt","35.45","0","0","0"
"2498","Aborre",1,"20171121","DL2017044","koerselno1","Aborre.1.20171121.DL2017044.koerselno1","30.87","NoCt","41.34","0","0","0"
"2499","Aborre",2,"20171121","DL2017044","koerselno1","Aborre.2.20171121.DL2017044.koerselno1","28.96","NoCt","NoCt","0","0","0"
"2585","Aborre",1,"20180220","DL2017084","koerselno1","Aborre.1.20180220.DL2017084.koerselno1","NoCt","NoCt","NoCt","0","0","0"
"2588","Aborre",2,"20180220","DL2017084","koerselno1","Aborre.2.20180220.DL2017084.koerselno1","30.66","NoCt","42.86","0","0","0"
"2675","Aborre",1,"20180222","DL2017080","koersel1","Aborre.1.20180222.DL2017080.koersel1","30.96","NoCt","NoCt","0","0","0"
"2678","Aborre",2,"20180222","DL2017080","koersel1","Aborre.2.20180222.DL2017080.koersel1","NoCt","NoCt","NoCt","0","0","0"
"2771","Aborre",1,"20180223","DL2017078","koersel1","Aborre.1.20180223.DL2017078.koersel1","29.26","NoCt","NoCt","0","0","0"
"2774","Aborre",2,"20180223","DL2017078","koersel1","Aborre.2.20180223.DL2017078.koersel1","30.06","49.50","NoCt","0","0","0"
"2867","Aborre",1,"20180227","DL2017076","koersel1","Aborre.1.20180227.DL2017076.koersel1","29.18","NoCt","NoCt","48.89","0","0"
"2975","Aborre",1,"20180228","DL2017091","koersel1","Aborre.1.20180228.DL2017091.koersel1","29.29","NoCt","NoCt","NoCt","0","0"
"2979","Aborre",2,"20180228","DL2017091","koersel1","Aborre.2.20180228.DL2017091.koersel1","29.31","NoCt","NoCt","NoCt","0","0"
"3095","Aborre",1,"20180301","DL2017070","koerselno1","Aborre.1.20180301.DL2017070.koerselno1","31.99","NoCt","NoCt","NoCt","0","0"
"3099","Aborre",2,"20180301","DL2017070","koerselno1","Aborre.2.20180301.DL2017070.koerselno1","29.34","NoCt","NoCt","NoCt","0","0"
"3215","Aborre",1,"20180302","DL2017062","koersel1","Aborre.1.20180302.DL2017062.koersel1","29.26","NoCt","35.86","36.73","0","0"
"3219","Aborre",2,"20180302","DL2017062","koersel1","Aborre.2.20180302.DL2017062.koersel1","29.18","NoCt","36.35","36.96","0","0"
"3331","Aborre",1,"20180306","DL2017086","koersel1","Aborre.1.20180306.DL2017086.koersel1","29.64","NoCt","NoCt","NoCt","0","0"
"3335","Aborre",2,"20180306","DL2017086","koersel1","Aborre.2.20180306.DL2017086.koersel1","29.87","NoCt","NoCt","NoCt","0","0"
"3459","Aborre",1,"20180307","DL2017095","koersel1","Aborre.1.20180307.DL2017095.koersel1","28.99","NoCt","41.16","NoCt","0","0"
"3463","Aborre",2,"20180307","DL2017095","koersel1","Aborre.2.20180307.DL2017095.koersel1","29.17","NoCt","NoCt","NoCt","0","0"
"3587","Aborre",1,"20180308","DL2017064","koersel1","Aborre.1.20180308.DL2017064.koersel1","29.23","NoCt","41.94","NoCt","0","0"
"3683","Aborre",25,"20180308","DL2017064","koersel2","Aborre.25.20180308.DL2017064.koersel2","NoCt","NoCt","NoCt","NoCt","0","0"
"3715","Aborre",1,"20180309","DL2017090","koersel1","Aborre.1.20180309.DL2017090.koersel1","29.77","NoCt","NoCt","NoCt","0","0"
"3811","Aborre",25,"20180309","DL2017090","koersel2","Aborre.25.20180309.DL2017090.koersel2","29.74","NoCt","NoCt","NoCt","0","0"
"3843","Aborre",1,"20180410","DL2017068","koersel1","Aborre.1.20180410.DL2017068.koersel1","32.31","NoCt","NoCt","NoCt","NoCt","NoCt"
"4035","Aborre",25,"20180410","DL2017068","koersel2","Aborre.25.20180410.DL2017068.koersel2","31.44","NoCt","NoCt","NoCt","NoCt","NoCt"
"4099","Aborre",1,"20180411","DL2017093","koersel1","Aborre.1.20180411.DL2017093.koersel1","30.01","NoCt","NoCt","NoCt","NoCt","NoCt"
"4291","Aborre",25,"20180411","DL2017093","koersel2","Aborre.25.20180411.DL2017093.koersel2","32.92","NoCt","NoCt","NoCt","0","0"
"4327","Aborre",25,"20180413","DL2017082","koersel2","Aborre.25.20180413.DL2017082.koersel2","30.60","NoCt","NoCt","NoCt","0","0"
"4359","Aborre",1,"20180417","DL2017095","koersel1","Aborre.1.20180417.DL2017095.koersel1","29.58","NoCt","NoCt","NoCt","49.43","NoCt"
"4551","Aborre",25,"20180417","DL2017095","koersel2","Aborre.25.20180417.DL2017095.koersel2","29.00","NoCt","NoCt","NoCt","NoCt","NoCt"
"4615","Aborre",1,"20180420","DL2017072","koersel1","Aborre.1.20180420.DL2017072.koersel1","28.65","NoCt","NoCt","NoCt","NoCt","0"
